Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Rebolt,https://www.crunchbase.com/organization/builtright,1/1/2024,,11-50,Rebolt is a software platform crafted with an AI-first mindset to help small businesses and tradespeople.,"Artificial Intelligence (AI), B2B","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",30388,,,Active,Seed,3,"$3,000,000.00",USD,5/6/2025,Seed,"$4,550,000.00",USD,,"Antler, VITALIZE Venture Capital, Coughdrop Capital",,,0.3,0.1,-0.2,93.00%,N,0,0,
Noxi,https://www.crunchbase.com/organization/noxi,5/7/2025,Pars Barghandan,11-50,"Simplifying IoT Connectivity With Global Coverage, Unlimited Data, Fixed Pricing, and No Roaming For Businesses","Artificial Intelligence (AI), Internet of Things, Quantum Computing, Satellite Communication, Telecommunications","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$28,000.00",USD,5/31/2025,Pre-Seed,"$28,000.00",USD,1,Startupbootcamp,,,-0.7,-2.0,-3.3,200.00%,N,0,0,
XP,https://www.crunchbase.com/organization/xp-bac8,1/1/2024,,11-50,"XP, a ticket marketplace. XP, which was built on top of Solana, is already using state-of-the-art Web3","Blockchain, Marketplace, Web3","Blockchain and Cryptocurrency, Commerce and Shopping, Internet Services, Other","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,,,Active,Seed,1,"$6,200,000.00",USD,5/15/2025,Seed,"$6,200,000.00",USD,1,"L1D, Blockchange Ventures, Reflexive Capital",,,5.6,5.6,2.0,33.00%,N,0,0,
Coresky,https://www.crunchbase.com/organization/coresky,1/1/2023,Steven Wong,11-50,Coresky is a fully decentralized protocol and NFT marketplace for launching new ideas.,"Blockchain, Cryptocurrency, Virtual Currency","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94043,,,Active,Early Stage Venture,2,"$15,000,000.00",USD,3/25/2025,Series A,"$21,000,000.00",USD,1,"Tido Capital, WAGMi Ventures, Copilot Venture Studio, Parallel Ventures, Web3 Vision Fund",,,0.1,-0.3,-0.4,30.00%,N,0,0,
Duranta,https://www.crunchbase.com/organization/duranta,1/1/2024,Samuel Adeyemo,11-50,Duranta is the software platform transforming how landscapers and lawn care professionals grow and manage their businesses.,"Landscaping, Software","Real Estate, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",,,,Active,Seed,1,"$7,000,000.00",USD,7/14/2025,Seed,"$7,000,000.00",USD,4,"Sunshine Lake Capital, Pear VC, Base10 Partners, Coalition Operators, Thomas Dohmke",,,0.0,-3.5,9.9,20.00%,Y,0,1,
[cafeteria],https://www.crunchbase.com/organization/cafeteria-853c,1/1/2023,"Leeann Sheely, Mark Silverstein, Rishi Malhotra",11-50,[cafeteria] is an ongoing production partnership between businesses and teenagers to help build career skills.,"Brand Marketing, Personal Branding, Teenagers","Community and Lifestyle, Sales and Marketing","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",90046,,,Active,Seed,2,"$3,000,000.00",USD,7/28/2025,Seed,"$6,000,000.00",USD,2,"Collaborative Fund, Listen, Imaginary Ventures, Guy Oseary, Marquee Ventures",,,-1.0,-3.2,4.9,129.00%,Y,0,5,
Meibel,https://www.crunchbase.com/organization/meibel,3/1/2024,Kevin McGrath,11-50,"The End-to-End Platform to Build, Run & Scale Generative AI Applications",Generative AI,Artificial Intelligence (AI),"Virginia, Nebraska, United States",Midwestern US,,,,Active,Seed,1,"$7,000,000.00",USD,5/20/2025,Seed,"$7,000,000.00",USD,1,"Cofounders Capital, Denver Ventures, Array Ventures, Service Provider Capital, Mosaic General Partnership",,,0.0,0.5,-0.4,267.00%,Y,0,6,
Neon Health,https://www.crunchbase.com/organization/neon-health,1/1/2023,,11-50,"Neon accelerates patient access to critical care by jumping through all the hoops to onboard and adhere to life-saving drugs, treatments.","Artificial Intelligence (AI), Health Care, Hospital","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$6,000,000.00",USD,9/2/2025,Seed,"$6,000,000.00",USD,1,"Village Global, NFX, Olive Capital, Ascend, DigiTx Partners",,,2.8,9.9,9.9,100.00%,Y,0,12,
Pearl Edison,https://www.crunchbase.com/organization/pearl-edison,1/1/2023,,11-50,Pearl Edison is an internet marketplace company that specializes in home electrical and energy-efficiency projects.,"Energy Efficiency, Internet, Marketplace","Commerce and Shopping, Energy, Internet Services, Sustainability","Detroit, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",48216,,,Active,Seed,1,"$3,300,000.00",USD,8/1/2025,Seed,"$3,300,000.00",USD,3,"Lightbank, Newlab, New System Ventures, Commonweal Ventures",,,-1.1,-2.0,9.9,100.00%,Y,0,11,
Affineon Health,https://www.crunchbase.com/organization/affineon-health,1/1/2023,David Norris,11-50,Healthcare is an AI inbox platform that automates administrative tasks for healthcare providers.,"Artificial Intelligence (AI), Health Care, Office Administration, PaaS","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Denver, Colorado, United States","Greater Denver Area, Western US",80202,,$1M to $10M,Active,Seed,3,"$5,000,000.00",USD,2/3/2025,Seed,"$6,000,000.00",USD,1,"Headwater Ventures, Benhamou Global Ventures, Signal Peak Ventures, AI Fund, Deepwater Asset Management",,,0.4,-0.2,-0.8,25.00%,N,0,0,
Repower Electric Corp,https://www.crunchbase.com/organization/repower-electric-corp,1/1/2024,Allen Snyder,11-50,Repower Electric Corp is committed to revolutionizing the Shuttle Bus industry by offering innovative electric vehicle conversions.,"Automotive, Fuel, Manufacturing","Energy, Manufacturing, Transportation","Gilbert, Arizona, United States","Greater Phoenix Area, Western US",85297,,,Active,Seed,1,"$2,108,998.00",USD,4/16/2025,Seed,"$2,108,998.00",USD,,,,,0.0,7.6,7.5,233.00%,N,0,0,
Beacon.li,https://www.crunchbase.com/organization/beacon-li,1/1/2023,"Rakesh Vaddadi, Silus Chintapalli",11-50,Beacon.li vision to simplify and enhance the digital experience for businesses and their users.,"Artificial Intelligence (AI), Information and Communications Technology (ICT), Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,1,"$7,000,000.00",USD,3/6/2025,Series A,"$7,000,000.00",USD,1,"Sorin Investments, Unicorn India Ventures, Athera Venture Partners, JAFCO Asia, Kapil Bharati",,,-0.1,-0.6,1.3,113.00%,N,0,0,
Cheehoo,https://www.crunchbase.com/organization/cheehoo-52f5,4/1/2024,Yao-Hung Tsai,11-50,"Cheehoo uses technologies and AI to accelerate animation production for various users, including artists, studios, and IP rights holder.",Generative AI,Artificial Intelligence (AI),"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",,,,Active,Seed,1,"$10,000,000.00",USD,4/28/2025,Seed,"$10,000,000.00",USD,3,"Headline, Greycroft, Basis Set Ventures, Point72 Ventures, Powerhouse Capital",,,0.0,-0.5,-0.2,108.00%,Y,0,2,
Capitalize.io,https://www.crunchbase.com/organization/capitalize-io,1/1/2023,"Luke Morris, Soren Craig",11-50,"Capitalize.io is a commercial real estate lending marketplace with lender search, loan comparison, and network-building tools.","Lending, Marketplace, Real Estate","Commerce and Shopping, Financial Services, Real Estate","Newport Beach, California, United States","Greater Los Angeles Area, West Coast, Western US",92663,,,Active,Seed,1,"$4,000,000.00",USD,7/21/2025,Seed,"$4,000,000.00",USD,1,"FJ Labs, Lerer Hippeau, Treasury, Sway Ventures",,,-0.3,-3.7,9.3,25.00%,Y,0,2,
Mealogic,https://www.crunchbase.com/organization/mealogic,1/1/2024,Ellis S McCue,11-50,"Mealogic offers a platform for businesses to deliver chef-crafted, nutrition-led meals through their end-to-end commerce solution.","Food Delivery, SaaS, Software","Food and Beverage, Software, Transportation","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10016,,,Active,,2,"$16,000,000.00",USD,3/25/2025,Venture - Series Unknown,"$17,000,000.00",USD,1,"S2G Investments, U.S. Venture Partners, Unilever Ventures, Dohmen Company Foundation",,,-0.4,-1.3,-1.9,5.00%,N,0,0,
Delineate,https://www.crunchbase.com/organization/delineate-2fc6,1/1/2024,"Emily Nieves, Jawad Iqbal",11-50,"Delineate offers evidence-based insights derived from research publications, patents, and databases to inform important business decisions.","Artificial Intelligence (AI), Biotechnology, SaaS","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,,Active,Seed,1,"$500,000.00",USD,3/12/2025,Pre-Seed,"$500,000.00",USD,1,"Y Combinator, Unpopular Ventures",,,-0.1,-2.0,4.6,28.00%,N,0,0,
GreenFi,https://www.crunchbase.com/organization/greenfi-b099,1/1/2024,Timothy Newell,51-100,GreenFi is a climate-friendly banking and financial services platform focused on sustainable banking and investing.,"Banking, Financial Services, FinTech","Financial Services, Lending and Investments","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94111,,,Active,Seed,1,"$17,000,000.00",USD,4/22/2025,Seed,"$17,000,000.00",USD,1,Mission Financial Partners,,,-0.3,-0.6,2.3,17.00%,Y,0,2,
Wayvee Analytics,https://www.crunchbase.com/organization/wayvee-analytics,8/1/2023,"Alex Ovcharov, Anton Timashev",11-50,Real-time customer satisfaction analytics for brick-and-mortar stores.,"Artificial Intelligence (AI), Consumer Research, Customer Service, Machine Learning, Retail Technology","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Hardware, Other, Professional Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10022,,,Active,Seed,2,"$1,200,000.00",USD,3/4/2025,Seed,"$6,200,000.00",USD,1,Tetrad VC,,,0.0,-0.4,-0.1,33.00%,N,0,0,
Intelo,https://www.crunchbase.com/organization/intelo,4/1/2025,"Jeffrey Fish, Roopesh Nair",11-50,"Intelo provides modular AI agents that support business operations across retail, hospitality, and SaaS customer success environments.","Artificial Intelligence (AI), Information Technology, Intelligent Systems, Retail Technology, Software","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,Less than $1M,Active,Seed,1,"$2,000,000.00",USD,6/1/2025,Pre-Seed,"$2,000,000.00",USD,,,,,-0.2,0.9,1.3,50.00%,N,0,0,
Poolday.ai,https://www.crunchbase.com/organization/poolday-ai,1/1/2023,"Alexei Chemenda, Oliver Nicolini",11-50,"Poolday.ai enables rapid video creation for apps and e-commerce using AI actors, focusing on user-generated content.","Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94111,,$1M to $10M,Active,Seed,1,"$4,899,997.00",USD,6/10/2025,Seed,"$4,899,997.00",USD,,,,,0.0,1.3,-1.6,29.00%,N,0,0,
Scribe Health AI,https://www.crunchbase.com/organization/scribe-health-ai,2/3/2023,,11-50,Scribe Health AI is an HIPAA-compliant clinical documentation tool that integrates with 50+ EMR systems.,"Artificial Intelligence (AI), Health Care, Medical","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",11238,,,Active,Seed,2,"$1,200,000.00",USD,3/23/2025,Seed,"$2,700,000.00",USD,1,"Y Combinator, Global Founders Capital, Attack Capital, Soma Ventures",,,0.8,-0.1,4.3,null,N,0,0,
Anagram,https://www.crunchbase.com/organization/anagram-security,1/1/2024,Harley Sugarman,11-50,Anagram offers a platform for human-driven security.,"Artificial Intelligence (AI), Security","Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Early Stage Venture,1,"$10,000,000.00",USD,2/26/2025,Series A,"$10,000,000.00",USD,1,"General Catalyst, Madrona, Bloomberg Beta, Operator Partners, Secure Octane",,,0.1,0.0,2.9,56.00%,N,0,0,
Perceptis AI,https://www.crunchbase.com/organization/perceptis-ai,1/1/2024,,11-50,Perceptis is AI-powered service for creating professional business proposals.,"Artificial Intelligence (AI), B2B, Business Development, Consulting, Productivity Tools, SaaS","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",,,,Active,Seed,1,"$3,600,000.00",USD,2/4/2025,Seed,"$3,600,000.00",USD,1,"The House Fund, Streamlined Ventures, FEBE Ventures, Tekton Ventures, MOST Ventures",,,-0.1,-0.1,3.7,333.00%,N,0,0,
Limited,https://www.crunchbase.com/organization/limited-128a,1/1/2023,Hussein Ahmed,11-50,"Limited offers a global self-custodial experience, allowing global customers to spend, save, invest, and transact globally.",,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,"$7,000,000.00",USD,6/2/2025,Seed,"$10,000,000.00",USD,2,"The House Fund, North Island Ventures, Arche Capital, Third Prime, SevenX Ventures",,,-0.1,-0.5,-3.5,50.00%,N,0,0,
Gameramp,https://www.crunchbase.com/organization/gameramp,1/1/2025,,11-50,"Gameramp provides funding and support tools,and help games and consumer apps scale quickly.",,,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,Seed,1,"$5,400,000.00",USD,8/5/2025,Pre-Seed,"$5,400,000.00",USD,1,"South Park Commons, BITKRAFT Ventures, mixi, DeVC",,,-0.8,-1.6,9.9,1400.00%,N,0,0,
ORO AI,https://www.crunchbase.com/organization/oro-ai,1/1/2025,,51-100,"ORO facilitates the transformation of data into advanced forms of intelligence, representing the next generation of analytical capabilities.","Artificial Intelligence (AI), Business Intelligence, Data Management","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$6,000,000.00",USD,4/16/2025,Seed,"$6,000,000.00",USD,2,"NEAR, a16z crypto, 0G, Orange DAO, Delphi Ventures",,,0.0,-0.2,0.3,200.00%,N,0,0,
BranchLab,https://www.crunchbase.com/organization/branchlab,1/1/2024,"Chris Cagle, Josh Walsh, Michael Parkes",11-50,BranchLab Offers AI-Native Solutions for Healthcare,"Advertising, Artificial Intelligence (AI), Health Care, Marketing","Advertising, Artificial Intelligence (AI), Data and Analytics, Health Care, Sales and Marketing, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",NY 10028,,,Active,Seed,2,,,9/8/2025,Seed,,,2,"nvp capital, NEXT VENTŪRES, AperiamVentures",8/27/2025,,-0.2,7.8,8.8,52.00%,Y,0,3,
Ember Software,https://www.crunchbase.com/organization/ember-software-c65d,1/1/2023,,11-50,Ember Software is a consulting firm that offers solutions to the companies to eliminate inefficiencies and streamline their workflows.,"Business Development, Consulting, Software","Professional Services, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94219,,,Active,Seed,1,"$10,000,000.00",USD,1/23/2025,Seed,"$10,000,000.00",USD,,"Menlo Ventures, 8VC",,,-0.1,0.3,-0.4,50.00%,N,0,0,
